"","Time","TMPM","Rain","LF","VP","Sat_def","Rad_Int","GlobRad","Wind","TMPMN","TMPMX"
"279",34613,5,0,80,7,1.7,127.8,11.04,1.5,-1.1,11.8
"280",34614,5.9,0,78.7,7.3,2,41.9,3.62,1.4,2.7,10
"281",34615,4.6,0.3,83.9,7.1,1.4,45,3.89,0.8,-1.3,9.3
"282",34616,4.9,3.3,89.8,7.8,0.9,35.8,3.09,0.8,3,8.4
"283",34617,4.3,0.5,89.1,7.4,0.9,107,9.25,0.6,-0.7,11.9
"284",34618,6,0,86.6,8.1,1.3,97.6,8.43,0.7,0.4,13.9
"285",34619,8,0,88.9,9.5,1.2,104.7,9.05,1.1,1.4,14.2
"286",34620,8.3,0,92.4,10.1,0.8,42.7,3.69,1.6,6,12.6
"287",34621,8.9,0.2,91.8,10.4,1,73.1,6.32,1.3,3.4,14.4
"288",34622,10.2,0,82.7,10.3,2.1,114.9,9.93,1.7,3.8,17.8
"289",34623,6.6,0,73.9,7.2,2.5,96,8.3,2.8,3.9,11.1
"290",34624,1.5,0,77.6,5.3,1.5,110.3,9.53,0.7,-1.9,9.1
"291",34625,2.4,0,62.4,4.5,2.7,112.7,9.74,2.1,-4.4,8.8
"292",34626,4.1,0,62.6,5.1,3.1,107.5,9.28,5.4,-1.3,8.9
"293",34627,5.6,0,62,5.6,3.5,100.5,8.68,5.9,1.2,9.7
"294",34628,7.1,0,70.8,7.1,3,106.3,9.18,4.1,1.5,11.9
"295",34629,9.7,1.6,78,9.3,2.7,49.7,4.3,3,4.1,12.7
"296",34630,12.9,0.4,80.3,11.9,3,47.5,4.11,3.5,9.5,16.7
"297",34631,10.4,0.2,80.1,10,2.5,80.8,6.98,2.9,8.4,15.4
"298",34632,9.6,3.1,84.4,10.1,1.9,53.7,4.64,2.6,6,14
"299",34633,9,1.3,82.6,9.5,2,67.3,5.82,3.7,7.7,11.9
"300",34634,8.5,5.5,80.9,9,2.1,59.8,5.16,3.9,7,11.7
"301",34635,6.6,0.1,83.5,8.1,1.6,87.9,7.6,2.7,3.9,11.3
"302",34636,7.7,3.6,82,8.6,1.9,79.6,6.88,3.7,4.1,11.4
"303",34637,12.4,16.3,95,13.6,0.7,20.9,1.81,3.5,7.6,14
"304",34638,13.1,7.6,89.9,13.5,1.5,20.6,1.78,5.7,11.4,14.8
"305",34639,9.9,0,70.4,8.6,3.6,74.2,6.41,6.9,8.4,12.8
"306",34640,5.4,0,83.8,7.5,1.5,72.5,6.27,2,2.7,12.1
"307",34641,7,0,73.6,7.3,2.7,79.5,6.87,4.4,1.2,11.5
"308",34642,6.8,0,79.6,7.9,2,71.4,6.17,4.1,4,11.1
"309",34643,8.9,0.2,83.2,9.4,1.9,69.1,5.97,3,4.1,14
"310",34644,10.1,0,90.4,11.1,1.2,54.3,4.69,1.5,2.6,14.1
"311",34645,9.9,0.2,87.5,10.6,1.5,17.7,1.53,0.7,9.2,11.7
